Review,Kategori
"aku pengguna lama GOJEK bahkan sudah masuk top tier rising star dan langganan go plus. Baru kali ini aku dikecewakan oleh pihak GOJEK karena setelah error kemarin, tiba tiba di tanggal 29 Juli, akunku diblokir tanpa pemberitahuan sehingga tidak bisa memakai voucher promo. Sudah lapor ke cs di aplikasi dan instagram, tapi ngotot aku yang melakukan kesalahan. Padahal sebelumnya di tanggal 27 Juli, saya masih bisa transaksi gofood menggunakan voucher yang disediakan. INI TOLONGLAH.",Kualitas Teknis & Aplikasi
"aplikasi spaylater nya menjerumuskan, pas mau bayar ada tulisan minimal bayar sekian dari tagihan, Ok aku pikir kalau ada tulisan kaya begitu artinya bisa dicicil alhasil aku coba bayar +/- 65% dari tagihan alhasil sisa tagihannya 90rb an.... dan pas besok paginya aku cek GONG BANGET kena denda 50rb, langsung ku lunasi semua langsung uninstal gak mau pakai lagi, dan 1 lagi ini aplikasi kalau pas jatuh tempo nelponnya gak berenti2 walaupun dah dibayar lunas sebelum jatuh tempo!!!",Kualitas Teknis & Aplikasi
"Sangat mengecewakan! Saya sudah menunggu lama sekali berharap ada driver yang menerima pesanan, tapi tidak ada satu pun. Yang lebih parah, saya juga harus menunggu sangat lama hanya untuk bisa membatalkan pesanan. Waktu saya benar-benar terbuang sia-sia. Kejadian ini bahkan sudah terjadi dua kali. Kalau memang tidak ada driver yang tersedia, kenapa pelanggan harus terus disuruh menunggu tanpa kepastian? Sangat merugikan dan benar-benar membuat frustrasi. Tolong perbaiki sistemnya.",Interaksi & Pelayanan Driver
"kenapa promo diskon di akun ku tiba² hilang ya? pas aku tanya pihak cs katanya penyalahgunaan promo diskon padahal aku merasa ga pernah melakukan itu sama sekali, aku tanya lagi letak penyalahgunaan nya dimana dan malah dikasih jawaban yg ga memuaskan katanya penyalahgunaan promo diskon lagi, jawabannya itu² mulu di bolak-balik. Aku udah langganan gojek plus hampir 3 tahun dan baru kali ini mengalami masalah yg seperti ini, aku bahkan bisa spend hingga kurleb 25jt dlm 1 thn cm buat pesen makan",Kualitas Teknis & Aplikasi
"Saya tidak bisa login aplikasi gojek dan gopay padahal sudah uninstall dan install kembali kedua aplikasi, lalu saya juga sudah hapus cache. Sudah restart hp, sudah aktifkan GPS dan saya menggunakan wifi yang sinyalnya sudah cukup kencang. Saldo saya kesangkut:(",Kualitas Teknis & Aplikasi
"Menu kurang, ajukan komplain, yg jawab AI, ada aja yang kurang, alhasil ga bisa diproses. Gitu aja terus. Yang driver / toko nya ga ada sanksi, yang rugi saya. Silahkan dicek, sy pengguna setia dari 5 th yll. Masa ga ada catatan buat driver / tokonya. Sistemnya dibenerin lagi.",Interaksi & Pelayanan Driver
"saya gak suka ya dengan cara gocar yang seolah ""memaksa"" penumpang pesan Gocar prioritas. ini bukan pertama kali, seringkali jika pesan Gocar reguler tiba-tiba fitur prioritas di ceklis bersamaan meskipun penumpang tidak memilihnya. secara otomatis kami akan batalkan (jika sadar) jika tidak terjadilah pesanan dipilihkan dengan harga prioritas.",Interaksi & Pelayanan Driver
"Akhir akhir ini aplikasi nya sering lost connection antara Driver sama User. Ketika saya tanyakan pada driver, driver jg sering mengeluh map nya error. Jadi seringkali di aplikasi icon driver masih di tempat awal, tp driver sudah sampai. Utamanya buat Go Food. Cukup mengkhawatirkan.",Interaksi & Pelayanan Driver
"fitur buat melacak drivernya tidak akurat sama sekali, di aplikasi di suruh nunggu 3 menit di tunggu 3 menit malah nambah lagi durasinya jadi 13 menit dan saya udah nunggu lebih dari 13 bahkan kurirnya sudah saya chat dari jam 12.30 hingga tak tunggu sampai jam 14.42 belum dateng juga, 2 jam lebih saya menunggu dan itu bukan waktu yang singkat tolong buat aplikasi GO-JEK di benerin lagi tu aplikasi hingga muak saya menunggunya.",Interaksi & Pelayanan Driver
"ini masalah ngelag sampai metode pembayaran nya ga muncul di talangin mohon ya orang sudah mati kelaparan ga bisa di bayar bayar jaringan oke aja 4g aneh betul, bikin app tu niat dikit napa ga tersedia metode pembayaran lah mau dibayar atau enggak? makasih loh kalau di kasih gratis aneh juga ku refresh ga bisa app sudah yang terupdate mau apa lagi ORANG DAH LAPAR",Kualitas Teknis & Aplikasi
"udah di-update eh malah masih kendala teknis, gak bisa order makan deh, jangan lama2 dong kendala teknisnya,.keburu lapernya lewat. aplikasinya ngebug gak bisa bertransaksi pake gopay, segera fix.",Kualitas Teknis & Aplikasi
"kok sekarang di aplikasi GO-JEK tidak ada fitur chat ya ya? adanya cuma telpon. sehingga jika pengguna tidak memiliki pulsa, tidak bisa berkomunikasi dengan driver, pdahal dulu ada fitur chat... menyusahkan pengguna saja",Interaksi & Pelayanan Driver
"Disuruh langganan biar murah, tapi menunggu driver nya sampai 5 jam ga dapet2, di suruh upgrade pesanan jadi yg cepat, buat apa berlangganan kalau tetap dapat harga normal.. Sampai 10 x pesanan ga juga dapet driver nya",Interaksi & Pelayanan Driver
"bagus sih driver nya jga baik , trs cepet sat set . tapi knp kalo saya gofood kadang selalu eror , pdhl driver nya udah smpe , tapi di aplikasi ga ada tertulis udah smpe . trs kadang jga lemot bgt aplikasinya , pdhl sinyal saya bagus",Interaksi & Pelayanan Driver
"Udah milih titik sesuai lokasi tp dr aplikasi titik jemput nya ngga valid, alhasil Drivernya komplen pas dijelasin malah ngga percaya jd bete mau brngkt kerja.. disesuaikan lah dg mapsss biar valid. biar drivernya gampang penumpang nya juga enak karena ngarahin lokasi sangat menghabiskan waktu",Interaksi & Pelayanan Driver
parah makin kesini aplikasi GO-JEK sangat merugikan customer. saya pilih gojek prioritas supaya dpt gojek cepat malah selalu dapat driver yang jaraknya jauh2 dan memerlukan waktu lebih lama untuk tiba di tempat jemput,Interaksi & Pelayanan Driver
"Kamis siang kena suspend, kamis sore udah kebuka. Jumat bisa kerja, jumat 11:30 malam kena suspend lagi entah apa alasannya. Sabtu dapat peringatan. Ke kantor operasional gojek, kantor udah tlp pusat & di laporin. Ternyata sama pusat suruh buka secara berkala belum bisa on, udah 3hari gak kerja & gak ada pemasukan. 😭 Semoga aplikasinya ke depan dapat diperbaiki & lebih baik. 🙏",Kualitas Teknis & Aplikasi
"Driver belum mengantarkan makanan sesuai dengan penerima yang benar, dan CS sangat tidak membantu, makanan belum sampai, di bilang sudah sampai. sudah cek tetangga dan sekitar tidak ada yang menerima, kemungkinan Driver melakukan penipuan, bahkan saya chat kembali tidak ada jawaban dari driver terkait.. dan lebih utama sangat kecewa dengan CS bantuan, karena hanya cek via sistem otomatis tanpa konfirmasi ke driver bersangkutan",Interaksi & Pelayanan Driver
"Aplikasinya bagus, drivernya ramah2. Tapi kadang aneh, kan mesen GoRide di kilometer nya 9,4. Jadi, ada GoRide MURAAAH. Tapi, gatau kenapa tiba"" hilang dan kilometernya bertambah jadi 10,1 padahal jalan yg dilewati sama. Tolong diperbaiki ya. Terimakasih",Interaksi & Pelayanan Driver
"Aplikasi sangat lelet, katanya karna masalah jaringan. Tapi saya buka aplikasi sebelah lancar lancar aja. Kemudian saya uninstall dan install lagi, malah ga bisa masuk katanya ada masalah teknis.",Kualitas Teknis & Aplikasi
"Mengapa para driver tidak chat saya dan tidak mengkonfirmasi kalau ingin jemput.Saya merasa tidak pesan lebih dari 1 tapi tiba tiba datang 3 driver atas nama saya,dan tiga tiga nya tidak mengkonfirmasi/chat ke saya.Lag dan banyak bug,katanya tidak ada jaringan tapi saat saya buka aplikasi lain lancar"" saja. saya tidak mendapatkan driver dan di history juga tidak ada,namun tiba tiba saja ada driver atas nama saya?",Interaksi & Pelayanan Driver
"Jujur titik penjemputan maupun tujuan kadang sulit terdeteksi maps nya, dan fitur telepon nya saya gatau ya hp sy yg jadul apa emg agak aneh, suara deringnya ada tpi tampilan telepon dari driver nya gada. soal telepon ini sy sudah sering mengalaminya. mau coba telepon balik gabisa krn telepon sebelumnya masih tersambung, padahal sy sama sekali blm nerima telepon. hanya deringnya saja yg terus bersuara.",Interaksi & Pelayanan Driver
"gocar dan go bike, harganya kadang gak kira2, bisa mahal banget, apalagi sama pelanggan yg sering pakai, tapi kalo udah lamaaaa ga pakai, harga bisa agak murah, padahal samain aja, contoh, saya kemarin 7 hari berturut-turut pakai gocar, di jam yg sama setiap hari nya dan tujuan yg sama, tiap hari harga berubah, di hari ke 2 dan seterusnya harga naik terus, itu kenapa bisa begitu 🙄",Kualitas Teknis & Aplikasi
"aplikasinya aneh.. semalem order dari stasiun jatake jam 11 malem, terpantau ada 5 driver mangkal di depan stasiun. order sampe 3x satupun driver ga ada yg nyangkut padahal pada nongkrong depan mata. bikin susah customer dan lebih kasian driver yg udah rela2 mangkal malah ga dikasih orderan terdekat. ANEH",Interaksi & Pelayanan Driver
"saya pesan gojek lama, gk cepat di ambil padahal banyak yang ready, giliran di batalkan terpesan sendiri, padahal udh jelas2 di batalkan, mana udah pesan aplikasi lain langsung d ambil, jadi rugi saya. bayar tanpa dapat jasanya, tolong donk di perbaiki sistemnya. saya perbaiki ratingnya klo udh diperbaiki.",Interaksi & Pelayanan Driver
"Aplikasi ini sudah bagus banget. Kalau boleh kasih saran, alangkah lebih baik jika ditambahkan fitur pembayaran menggunakan QRIS. Hal ini karena kadang saya tidak memegang uang tunai dan merasa kurang praktis jika harus memindahkan saldo terlebih dahulu ke GoPay. Terima kasih banyak untuk tim Gojek dan para driver ya! ❤️‍🩹",Interaksi & Pelayanan Driver
sebuah aplikasi yg di desain dengan sangat buruk! saya kasih rating ke makanan tapi ratingnya gak muncul di resto-nya. pas mau ku rating lagi malah salah makanan jadi saya malah ngasih rating dengan ulasan gak nyambung. mau ngehapus rating juga gak bisa. mau minta bantuan ke CS buat ngehapus Rating juga gak bisa karna gak bisa ngomong sama manusia. bener bener di perangkap!,Kualitas Teknis & Aplikasi
"Saran aja, untuk GOFOOD adain FITUR hubungin kontak penjual dulu sebelum order, biar saya sebagai pembeli / customer dapat memastikan dulu apakah restonya BUKA atau TUTUP. Beberapa kali pengalaman di apk nya BUKA terus udah order, udah dapat driver, eh ternyata restonya TUTUP. Kalo statusnya ""MAKANAN LAGI DISIAPIN"" itu kan udah ga bisa CANCEL. Bisa sih tapi merepotkan dan butuh waktu cukup lama. KEBURU KELAPERAN. Kasian juga kan driver nya udah jalan menuju resto.",Interaksi & Pelayanan Driver
"Beberapa bulan terakhir sering sulit sekali mendapat driver. Ini antara drivernya yang ga mau pick up atau ada kesalahan di sistem. Padahal ada banyak driver di sekitar lokasi pick up, waktunya pun bukan rush hour dan juga sedang tidak hujan. Kadang juga dapetnya jauh sekali dari lokasi, jadi harus nunggu lama atau driver minta cancel. Edit: Kenapa kalau naik gocar rutenya pasti lewat tol? Adakah fitur untuk mematikan lewat tol? Kalau lewat tol bayarnya dua kali, padahal jaraknya dekat.",Interaksi & Pelayanan Driver
"sorry lah ya turun bintang 1 karena udh bener"" buruk nih aplikasi gojek! ceritanya gw beli tiket kereta dari stasiun tebet dan tujuannya stasiun depok tapi belum tap out keluar/qris out tapi malah udh out duluan padahal disitu posisi gw masih di kereta dan masih jauh bngt dari depok dan alasannya kedua udh gw jelasin di ulasan pertama... jadi tolong perbaiki kesalahan aplikasinya agar ulasan aplikasinya makin bagus dan gw bukan buzzer maupun merendahkan tapi ini pengalaman gw udh cape ama gojek",Kualitas Teknis & Aplikasi
"Aplikasinya sangat membantu untuk transportasi, pesan makanan, dan kebutuhan harian 😄 Fitur lengkap dan ekosistemnya luas. Namun kadang harga naik turun tidak konsisten, dan beberapa layanan juga bisa terasa mahal di jam tertentu. User experience masih oke, tapi bisa lebih stabil dan transparan lagi 👍",Kualitas Teknis & Aplikasi
"bagaimana ya dengan aplikasi ini, apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi, banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot. Kurangi notifikasi tidak jelas/berguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver",Interaksi & Pelayanan Driver
"Berhati hati kalau ada perihal keterlambatan, CS manusia bakalan rela nunggu hampir setengah jam untuk balas anda meski sebelumnya aktif hanya untuk driver bisa menyelesaikan order. saat akhirnya dibalas akan alasan pesanan sudah sampai jadi tidak bisa dibatalkan",Interaksi & Pelayanan Driver
"saya belum berhasil menambahkan metode pembayaran Bank Jago di Gojek. sudah mengikuti petunjuk di BANTUAN, tapi selalu berhenti setelah klik HUBUNGKAN. muncul warning ""Ada sedikit masalah. Tenang, kami cariin solusinya. Coba lagi ya nanti"" dan saya coba beberapa menit kemudian, berapa jam kemudian, beberapa hari kemudian, berulang kali, masih belum berhasil tanpa solusi. sudah saya lapor via email dan fitur bantuan. namun masih belum ada solusi. mohon bantuan tindak lanjut. tks.",Kualitas Teknis & Aplikasi
"saya sudah main misi balok balok untuk mendapatkan gopay coins 40k, disitu harus mencapai 10ribu poin untuk mendapatkan gopay coins 40k tersebut, giliran saya sudah capai 10ribu poin, tiba"" tulisan di aplikasnya jaringan saya eror, padahal bagus"" saja jaringan saya, saya tidak terima, ganti rugi waktu dan kouta saya selama main game balok balok tersebut, aplikasih sampah",Kualitas Teknis & Aplikasi
". kebanyakan notif, sekalinya notif dimatiin notif pengantaran makanan juga ikut mati, hadeh gini aja mesti dikasih tw .trus udah nunggu 2,5 jam an malah gk dpt2 driver dan di cancel otomatis di applikasi, hadeh parah 😌 .waktu pengantaran tidak pas, kadang lebih cepat kadang lebih lama. jadi gak bisa nyesuaiin belinya d jam brp 😌 .mau ngasih hadiah ribet hrus main game dlu 😌 .dri dlu gk bisa liat story aktifitas, loading mulu, padhal main yt aman ptr vid hd .masih bnyk lgi, cment trbtas",Interaksi & Pelayanan Driver
Excellent ! O iya Min kasih fitur baru dong. Aku ga enak sama driver gocar gara² Mobil dia gede tapi masuk ke jalan kecil. Fitur baru yang bisa pilih jenis mobil kecil gitu lho Min. Dah gitu aja. Terimakasih ya Min.,Interaksi & Pelayanan Driver
"sinyal sering error, masa internet nya mati. padahal nonton video aja lancar. terus kok kalau pesen yang prioritas sama sih sama yang biasa? malah kadang ngendarainnya suka ugal ugalan",Kualitas Teknis & Aplikasi
"Gojek, saya transaksi go pulsa dan mau bayar pakai PIN gopay tp dibilang salah PIN pdhal nomor PIN sdh benar. Saya coba tap"" lupa pin dan jg ganti PIN"" tapi saat nomor verifikasi baru muncul eh tampilan langsung hilang/ tak ada tempat utk ketik no verifikasi lalu muncul tulisan "" gojek sedang ada kendala, tunggu ya saya carikan solusi"" ( intinya bgtu ). Berulang kali sy coba tdk bisa. Sy coba ke pusat bantuan admin bs nge-chat tp sy kok tdk bisa ngechat (layar tdk bs utk sy chat). Maksud bgmn??",Harga & Promosi
"selama pemakain lebih dri 2 tahun si ngga ada masalah pembayaran lancar,cepet,praktis, kalo lagi males bisa gofood tapi hari ini tiba² ada masalah waktu pesen gojek waktu pemilihan metode pembayaran tiba engga bisa pake gopay udh di update ttep aja kayak gitu,mohon tolong segera diperbaiki ya",Kualitas Teknis & Aplikasi
"Aplikasi bagus dan berguna. Tapi fitur Games Gojek-nya ada yang tidak bisa dibuka. Yaitu Gocats dari Gojek. Soalnya sudah berhari-hari tidak bisa dibuka. Tolong diupdate yang berikutnya, game Gocats yang ada di aplikasi Gojek bisa dibuka lagi dengan cepat tanpa harus mengalami masalah gagal loading game Gocats-nya.",Kualitas Teknis & Aplikasi
"harusnya ada kolom penilainya mengenai makanan, soalnya kadang masakannya asin, pedas, manis atau masam. pihak patner juga harus tahu. biar makanan akan tetep enak. hari ini saya order makanan statusnya tutup dinotifikasi tapi tetep jalan dan enggak bisa cancel, saya sangat kecewa dengan layanan gofood",Interaksi & Pelayanan Driver
"pesen express kmrn malam. sengaja bayar lebih.. eehhh datang nya tetap aja telat. pusat bantuan nya, sumpah jelek banget. gua langsung uninstall ini dr HP gua. langsung aja gua dwonload aplikasi lain nya.. sangat mengecewakan sekali.",Kualitas Teknis & Aplikasi
"bugnya terlalu banyak dan terlalu menghambat. mau pesen makanan gabisa pilih metode pembaharan cuma bisa tunai, padahal chache udh dihapus + sinyal lancar.",Kualitas Teknis & Aplikasi
"gojek go food nyediain vocer, tapi kalau covernya digunakan drivernya ga pernah dapet. udah beberapa kali di coba pakai vocer, tapi endingnya suruh batalin pesanan karna driver sibuk. padahal nunggu drivernya lama, setelah jam. kalo pesen lagi, nunggu lagi. tapi kalo vocernya ga dipakai, ada driver yg nyantol.",Interaksi & Pelayanan Driver
ini gimana sih bukannya dipermudah untuk pembayaran malah disuruh top up dulu masa metode pembayarannya cuma bisa top up ! nyesel pake Go-Jek nyusahin pengguna ! sibuk neror2 aplikasinya ribet. klo mau dibayar perbaiki dulu metode pembayarannya kalo bisa pake qris disertakan !,Kualitas Teknis & Aplikasi
"ini kenapa ya. kok aplikasi nya kayak ngelag/ lemot banget si padahal sinyal udah bagus, Kouta internet masing banyak, dan udah saya update ke versi terbaru. kok masing lag/ lemot banget aplikasi nya?",Kualitas Teknis & Aplikasi
"Banyak driver yg gatau jln trus juga ada yang sengaja jalan nya lama supaya di cancel, seharusnya kalau tidak mau bisa bilang ke customer biar di batalkan jadi tidak nunggu lama.",Interaksi & Pelayanan Driver
benar benar udah gak jelas ni aplikasi.gofood nya di aplikasi ongkir 1 tapii kita bayar tunai jadi lebih mahal ongkir dari pada harga makanan.mmg orang harus nabung dulu di Gopay baru kalian kasih murah.udah 6 bulan yg lewat ga pernah di perbaiki,Kualitas Teknis & Aplikasi
"aplikasi perlu dibagusi soal detail kereta dan pengemudi dan harga, saya pesan yang sudah termahal di gojek tapi kereta yang sampai seperti tidak layak pakai dan pengemudi dengan badan besar. saya bingung mau duduk dimana kalau pengemudi badannya besar, tolong di bantu gojek.",Interaksi & Pelayanan Driver
kali ini selalu salah titik di alamat yg benar.. titiknya selalu jauh dari tempat memesan atau tempat mengantar sehingga driver suka meminta uang tambahan karena titiknya jauh dari alamat.. dan percuma complain di aplikasi.. tidak membantu,Interaksi & Pelayanan Driver
aplikasi mudah dipakai dan banyak promonya untuk kebutuhan sehari² udah sangat² ramah. tapi tolong perbaiki lagi untuk akses permainan dari pihak gojek kadang bermasalah teruss,Interaksi & Pelayanan Driver
"Gausah di download, dapet driver susah, udh dibatalin 4 kali pesanan aku dah gitu laporkan masalah di CS gabisa ngetik permasalahan nya kita gimana, malah ada pilihan pilihan masalah yg bukan kita alamin,",Interaksi & Pelayanan Driver
"aplikasinya loading bgt lama bisa 5 menit 10 menitan. internet mati mulu padahal jaringan bagus. jadi lama kalo gofood, gojek, bikin telat mau berangkat kerja. padahal dulu bagus cepet bgt sekarang lama bgt",Kualitas Teknis & Aplikasi
"22 JULI 2026 [08:31] Pagi pengalaman kurang mengenakan yang mana sebelum membeli GoFood Plus voucher diskon nya banyak dan ongkirnya banyak makanan yang awalnya 27RB sudah termasuk ongkir dapat voucher potongan 10rb ongkir [08:35] saya kemudian membeli GoFood Plus [08:51] setelah membeli GoFood Plus Voucher² nya hilang dan harga total makanan menjadi 32Rb bertambah 5RB sudah pke voucher, itu setelah saya berlangganan gofood plus dan Jarak restoran 0,03km tapi ongkirnya jadi 12Rb padahal tetangga",Ketepatan Waktu & Efisiensi
Satu aplikasi yang memudahkan dalam perjalanan. Fiturnya juga banyak dan menarik. Banyak terdapat promo yang bisa dipakai. Untuk pelayanan drivernya ramah dan aman,Interaksi & Pelayanan Driver
aplikasi Go-Jek saya Napa sekarang gak bisa keluar saldo gopayku takutnya dananya gopay hilang dan juga untuk order transportasi juga metode pembayaran cuma bisa tunai gak gak ada pilihan lainnya dan semua fitur go tagihan dll jg tidak bisa juga tranfer bank juga jika di klik selalu maaf tidak ada internet dan permintaan anda tidak dapat diproses pdhal internet wifi kenceng banget tolong penjelasannya. terima kasih,Kualitas Teknis & Aplikasi
"aplikasi nya bagus cuma tolong dong kalo bikin iklan, si x nya ga bisa di pencet, ganggu banget. kesel kalo lagi main game yang ada iklan, iklan gojek tuh ga bisa di pencet",Kualitas Teknis & Aplikasi
"Pengalaman saya menggunakan Gojek sejauh ini cukup lancar. Ini adalah versi aplikasi utama yang lebih ringan, dan saya suka bagaimana aplikasi ini menggunakan lebih sedikit data dan berfungsi dengan baik",Kualitas Teknis & Aplikasi
"Hi gojek, sebenernya ak suka bgt pake gojek karena makanannya murah dan suka ada diskon. Tapi kalo payment qris pake gojek lama bgt sampe akhirnya pake cash, tolong ya gojek kendalanya dibenarkan setiap mau payment sering ""unable to process"" sinyal lagi bagus juga tetep ngelag kalo dibuat payment. Terimakasih gojek, semoga bisa balik ke server yang lebih baik yaa karena jujur kecewa dulu bagus, sekarang ngga sebagus dulu.",Kualitas Teknis & Aplikasi
"aplikasi ngga jelass , saya pesan gofood buat di kirim ke daerah Cikarang, terus saya cari resto terdekat malah dapet resto daerah jakarta , dan ternyata titik lokasi pengirim saya juga pindah ke jakarta, padahal di tulisan alamat tujuanya masih di Cikarang, tapi pas saya mau lapor customer service hanya fokus pada keterlambatan driver dll dan akhirnya pesanan saya kasih ke driver saja karena sudah terbayar, dasarr aplikasi gajelass",Interaksi & Pelayanan Driver
"Selama saya pakai gojek masih bagus.. tp saya paling susah dapat driver pada saat ujan padahal ujannya hanya grimis.. maaf bukan untuk membandingkan klo yg di sebelah wlopun ujan deras drivernya masih mau bawa 🙏 jadi klo ujan saya suka pesen yang di sebelah.. skrg klo dapat driver jauh² banget jadi harus nunggu 10mnt 😭 padahal klo liat mapnya yang deket banyk driver.. tolong dong klo kaya gini aku jadi sering telat dapat driver jauh bgt, pas udah ketemu driver marah² katanya jauh bgt..",Interaksi & Pelayanan Driver
"kecewa banget sama GoFood!! saya tidak memesan makanan apapun di jam 1 dini hari, bisa-bisanya tiba-tiba ada notif pesanan sedang diantar, cash 58rb sekian, sumpah ngeselin, kalau kayak gini terus boncos, saya uninstall aja aplikasi gojek gak jelas",Kualitas Teknis & Aplikasi
"kalau sudah posisi order hemat jangan keluar otomatis lagi untuk pesanan ojek yang lebih mahal.. orang yang ga ngerti maen teken aja.. jadi nya tiba2 ada 2 ojek yang datang, padahal cuma butuh 1 ojek aja... perbaiki lah",Kualitas Teknis & Aplikasi
Aplikasi diperbaiki. udh isi gopay dengan maksud bisa di gunakan malah ga d yg masuk no udh benar. aplikasi udh di update.Saldo berkurang di bank malah gopay ga bertambah. asli bikin kesal. payah,Kualitas Teknis & Aplikasi
tolong di aplikasi saya kenapa tidak ada fitur 'terjadwal'? tampilan berbeda dengan yang dicontohkan di fitur bantuan. Padahal uda di update versi terbaru. tolong pencerahannya 🙏,Kualitas Teknis & Aplikasi
"payah untuk driver kalo GK mau ambil orderan matiin aplikasi, kalo udh di ambil orderan ya bawa. jgn di gantung begitu, banyak drama alesan inilah itu lah, bikin waktu kebuang sia sia.... kalo EMG masalah harga yg murah protes ke gojek bukan ke customer. lah kita bayar kan sesuai di aplikasi",Interaksi & Pelayanan Driver
"maaf kenapa rute nya muter muter, padahal ada yang deket (10 menit) , malah dikasi rute yang muter muter alhasil makan waktu 20 menitan. tolong ini ditindaklanjuti ya, masalahnya saya juga ngga bisa pilih rute yang saya mau.",Ketepatan Waktu & Efisiensi
kenapa beberapa bulan ini kalo buka aplikasi gojek pake wifi rasanya berat banget yah?? nggak kayak biasanya.. tapi kalo pake kuota malah bisa.. entah kenapa 😔😔..,Kualitas Teknis & Aplikasi
"akun bisa di bajak untuk pinjaman online gopay pinjam dan gopay later, padahal tidak pernah memberikan pin maupun identitas, serta menandatangani dokumen apapun. bukti dokumen pinjaman tidak bisa di lihat siapa yg TTD. komplain ke ke gopay pinjam dan gopay later dianggap tidak terjadi apa2 , malah kesannya sengaja tanggapan di jawab jam 12 malam, komplai ulang tetap sama. dan sekarang muncul tagihan dan DC yg neror. sudah dijelaskan sedang proses di kepolisian tetap saja. hati2 kepada pengguna",Kualitas Teknis & Aplikasi
